T6,44.60%,28.30%,20.70%,16.10%,13.00%,10.80%,9.20%,8.00%
T5,42.60%,26.20%,18.80%,14.40%,11.50%,9.50%,8.00%,6.90%
T4,41.80%,25.60%,18.20%,13.90%,11.20%,9.20%,7.80%,6.80%
T3,40.90%,24.80%,17.60%,13.50%,10.80%,9.00%,7.60%,6.60%
T2,40.10%,24.00%,17.00%,13.00%,10.50%,8.80%,7.50%,6.50%
98,46.80%,32.00%,24.50%,19.70%,16.30%,13.90%,12.10%,10.70%
97,44.80%,29.90%,22.60%,17.90%,14.80%,12.50%,10.90%,9.60%
96,42.90%,27.80%,20.60%,16.20%,13.20%,11.10%,9.60%,8.40%
95,40.90%,25.80%,18.70%,14.40%,11.60%,9.70%,8.30%,7.30%
94,38.90%,23.80%,17.00%,12.90%,10.30%,8.50%,7.20%,6.30%
93,38.30%,23.20%,16.40%,12.50%,10.00%,8.30%,7.00%,6.10%
92,37.40%,22.50%,15.80%,12.10%,9.70%,8.10%,6.90%,6.00%
87,43.40%,29.70%,22.60%,18.10%,15.00%,12.80%,11.20%,10.00%
86,41.50%,27.70%,20.80%,16.50%,13.60%,11.60%,10.10%,9.00%
85,39.60%,25.70%,18.90%,14.80%,12.10%,10.20%,8.90%,7.90%
84,37.50%,23.70%,17.10%,13.20%,10.70%,9.00%,7.80%,6.80%
83,35.60%,21.80%,15.40%,11.80%,9.40%,7.80%,6.70%,5.90%
82,35.00%,21.20%,15.00%,11.40%,9.20%,7.60%,6.60%,5.70%
76,40.40%,27.70%,30.00%,16.70%,13.90%,11.90%,10.50%,9.50%
75,38.50%,25.80%,19.20%,15.30%,12.60%,10.80%,9.50%,8.50%
74,36.50%,23.80%,17.50%,13.70%,11.30%,9.60%,8.40%,7.50%
73,34.60%,21.90%,15.80%,12.20%,9.90%,8.40%,7.30%,6.50%
72,32.60%,20.00%,14.10%,10.80%,8.70%,7.30%,6.30%,5.50%
65,37.80%,26.00%,19.50%,15.60%,13.10%,11.30%,10.00%,9.10%
64,35.90%,24.10%,18.00%,14.30%,11.90%,10.30%,9.10%,8.20%
63,34.00%,22.20%,16.20%,12.70%,10.60%,9.10%,8.00%,7.20%
62,32.00%,20.40%,14.60%,11.30%,9.30%,7.90%,6.90%,6.20%
54,36.00%,24.70%,18.50%,14.90%,12.50%,10.90%,9.70%,8.80%
53,34.00%,22.90%,17.00%,13.50%,11.30%,9.90%,8.80%,8.00%
52,32.10%,20.10%,15.30%,12.10%,10.10%,8.80%,7.80%,7.00%
43,33.00%,22.10%,16.30%,12.90%,10.90%,9.40%,8.40%,7.60%
42,31.10%,20.20%,14.70%,11.60%,9.70%,8.50%,7.60%,6.80%
32,30.20%,19.40%,14.00%,11.00%,8.30%,8.10%,7.20%,6.50%
